,filename,P_in,P_rec,N_cal,seed,loss,mean_hem1_ipsi,mean_hem1_contra,mean_hem2_ipsi,mean_hem2_contra,var_hem1_ipsi,var_hem1_contra,var_hem2_ipsi,var_hem2_contra,max_hem1_ipsi,max_hem1_contra,max_hem2_ipsi,max_hem2_contra,nb_hem1_ipsi_pref,nb_hem2_ipsi_pref
138,IpsiContra_In05_Rec02_Col30_s2.npz,0.5,0.2,30,2,0.017635779455304146,-0.045101869851350784,-0.01188464742153883,-0.08127567917108536,0.006436467170715332,0.10568992793560028,0.1861637830734253,0.0903562530875206,0.23074686527252197,0.17558172345161438,0.4776998460292816,0.09221552312374115,0.5112035870552063,9,2
139,IpsiContra_In02_Rec02_Col40_s2.npz,0.2,0.2,40,2,0.016758637502789497,-0.03252517059445381,0.09834232181310654,0.07401879131793976,-0.019273852929472923,0.10770044475793839,0.2405732274055481,0.20850571990013123,0.15705572068691254,0.24800871312618256,0.5202820897102356,0.6310074329376221,0.4552401304244995,2,22
140,IpsiContra_In02_Rec07_Col10_s0.npz,0.2,0.7,10,0,0.010099859908223152,-0.0838596373796463,-0.1303049772977829,-0.1643717736005783,-0.1066952496767044,0.1583058387041092,0.29180896282196045,0.15134787559509277,0.21769656240940094,0.29812905192375183,1.1905865669250488,0.20090168714523315,0.7988336086273193,7,4
141,IpsiContra_In05_Rec05_Col30_s2.npz,0.5,0.5,30,2,0.01635124348104,-0.22704991698265076,-0.1621536761522293,-0.09972532093524933,0.09933705627918243,0.4387819766998291,0.30787980556488037,0.10289613902568817,0.24660268425941467,1.247822880744934,0.6876925826072693,0.14579883217811584,0.8114240169525146,8,0
142,IpsiContra_In02_Rec05_Col40_s2.npz,0.2,0.5,40,2,0.01688433066010475,-0.027184128761291504,-0.00024310425214935094,-0.06256140768527985,0.007274681236594915,0.1171027198433876,0.1571263074874878,0.1119271069765091,0.17538578808307648,0.35480138659477234,0.7014641761779785,0.1682756245136261,0.5220615863800049,7,3
143,IpsiContra_In07_Rec07_Col20_s2.npz,0.7,0.7,20,2,0.016846749931573868,-0.05903664976358414,-0.12934893369674683,-0.08971722424030304,-0.07509398460388184,0.07640913873910904,0.32892781496047974,0.15845395624637604,0.17484694719314575,0.2819182276725769,1.2236547470092773,0.31026026606559753,0.33055901527404785,1,11
144,IpsiContra_In02_Rec07_Col30_s2.npz,0.2,0.7,30,2,0.038502950221300125,-0.05624893307685852,-0.10209096968173981,-0.06514625251293182,-0.03825848177075386,0.25889790058135986,0.13455921411514282,0.06924068182706833,0.16372403502464294,1.060943603515625,0.41632360219955444,0.06545329838991165,0.4389270842075348,9,2
145,IpsiContra_In05_Rec07_Col40_s2.npz,0.5,0.7,40,2,0.015627531334757805,-0.1497654765844345,-0.3164375424385071,-0.12999939918518066,-0.19881761074066162,0.15678179264068604,0.7069973945617676,0.7511245608329773,0.2453204095363617,0.4802868664264679,2.402951240539551,3.372403860092163,0.832831859588623,0,9
146,IpsiContra_In05_Rec05_Col10_s0.npz,0.5,0.5,10,0,0.010352865792810917,-0.04697238281369209,-0.1284591108560562,-0.09542936831712723,-0.037157271057367325,0.1441567838191986,0.23082898557186127,0.1326100081205368,0.21843470633029938,0.35002219676971436,0.6031169891357422,0.3083866238594055,0.5653282403945923,10,3
147,IpsiContra_In05_Rec02_Col10_s0.npz,0.5,0.2,10,0,0.013361792080104351,-0.02001495286822319,-0.07006645202636719,-0.07546766102313995,-0.010467590764164925,0.09245173633098602,0.6041955947875977,0.11217644810676575,0.3390343189239502,0.1999141126871109,1.3755154609680176,0.13283047080039978,0.8648768067359924,8,5
148,IpsiContra_In05_Rec10_Col10_s1.npz,0.5,1.0,10,1,0.011951930820941925,-0.0630950778722763,-0.013861557468771935,-0.05331636592745781,-0.04923562332987785,0.040740326046943665,0.2271205484867096,0.08725686371326447,0.16951625049114227,0.03871125727891922,0.6276014447212219,0.32201313972473145,0.5261309146881104,2,6
149,IpsiContra_In10_Rec10_Col20_s2.npz,1.0,1.0,20,2,0.01585865393280983,-0.3537003695964813,-0.20715251564979553,-0.2149602174758911,-0.04772525280714035,0.4006129801273346,0.373413622379303,0.12781131267547607,0.3448341488838196,1.5712743997573853,1.2096033096313477,-0.061213962733745575,1.0496865510940552,2,0
150,IpsiContra_In05_Rec10_Col10_s0.npz,0.5,1.0,10,0,0.009830516763031483,-0.125029519200325,-0.12905481457710266,-0.05664689466357231,-0.09211720526218414,0.11261533200740814,0.18254706263542175,0.04816119000315666,0.27580803632736206,0.20785576105117798,0.5179674625396729,0.0434173159301281,0.8808176517486572,3,3
151,IpsiContra_In05_Rec02_Col10_s1.npz,0.5,0.2,10,1,0.007522840518504381,-0.03668919950723648,0.012928222306072712,-0.025778621435165405,-0.02376304194331169,0.08833524584770203,0.2203047275543213,0.129405215382576,0.13685242831707,0.15131662786006927,0.5067967772483826,0.3901236057281494,0.34512656927108765,7,6
152,IpsiContra_In10_Rec05_Col20_s2.npz,1.0,0.5,20,2,0.01650526188313961,-0.10429581254720688,-0.14949199557304382,-0.08510806411504745,-0.15320536494255066,0.1873359978199005,0.5804956555366516,0.32078930735588074,0.2469182163476944,0.6784743666648865,2.5761895179748535,0.905032753944397,0.6386096477508545,1,8
153,IpsiContra_In05_Rec05_Col10_s1.npz,0.5,0.5,10,1,0.011375127360224724,-0.05309494584798813,0.008650572970509529,-0.04800490289926529,-0.025327419862151146,0.06898240000009537,0.21530506014823914,0.07473834604024887,0.13464555144309998,0.2580024302005768,0.5136275291442871,0.2156570851802826,0.35578247904777527,2,2
154,IpsiContra_In10_Rec02_Col20_s2.npz,1.0,0.2,20,2,0.016459308564662933,-0.022909030318260193,-0.04672684520483017,0.042161427438259125,-0.07124383747577667,0.05524853616952896,0.31143295764923096,0.19244424998760223,0.2633206844329834,0.11286452412605286,0.7586875557899475,0.6378076672554016,0.7212024927139282,6,14
155,IpsiContra_In02_Rec07_Col30_s1.npz,0.2,0.7,30,1,0.009663108736276627,-0.11738160997629166,-0.16071675717830658,-0.07758183032274246,-0.0896139070391655,0.10330560058355331,0.1860695630311966,0.09647107124328613,0.14917895197868347,0.28251177072525024,0.4152335524559021,0.3198595345020294,0.4307667315006256,2,1
156,IpsiContra_In10_Rec02_Col20_s0.npz,1.0,0.2,20,0,0.010088237933814526,-0.10625936836004257,-0.10693564265966415,-0.05800201743841171,-0.023004379123449326,0.2519972026348114,0.20781488716602325,0.07729804515838623,0.2779349088668823,0.38779452443122864,0.48160412907600403,0.15540364384651184,0.6739187836647034,9,4
